Q2_1,Q4_3,Q5,Q7,Q10_1,Q10_2,Q10_3,Q16,Q20,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,age,education,race,gender,income,voter_category
1,1,1,1,2,1,2,2,1,,,,,,,,,,81,Some college,Black,Female,$40-75k,sporadic
1,3,1,1,2,2,2,1,1,,,,,,,,,,56,High school or less,White,Female,$75-125k,sporadic
1,2,2,1,2,2,2,1,1,,,,,,,,,,70,College,White,Male,$75-125k,sporadic
1,1,1,2,1,1,1,1,1,,,,,,,,,,52,High school or less,White,Male,Less than $40k,rarely/never
1,1,1,1,2,1,2,2,1,,,,,,,,,,57,Some college,Black,Male,$75-125k,sporadic
1,3,1,2,2,2,2,1,1,,,,,,,,,,50,College,White,Male,$40-75k,always
1,2,1,1,2,2,2,2,1,,,,,,,,,,30,Some college,White,Female,$75-125k,always
1,1,1,2,2,2,2,1,1,,,,,,,,,,60,Some college,White,Female,$75-125k,always
1,2,1,1,1,1,1,3,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62,High school or less,White,Female,Less than $40k,rarely/never
1,1,1,1,2,2,2,1,1,,,,,,,,,,62,Some college,White,Female,Less than $40k,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,67,High school or less,White,Male,$75-125k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,54,High school or less,White,Male,$75-125k,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,68,High school or less,White,Male,$125k or more,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,62,Some college,Black,Male,$75-125k,sporadic
1,2,1,2,2,2,2,1,1,,,,,,,,,,78,Some college,White,Female,$40-75k,always
1,2,2,1,2,1,2,1,1,,,,,,,,,,65,Some college,White,Male,$75-125k,always
4,4,1,1,2,2,1,3,2,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,36,High school or less,White,Female,Less than $40k,rarely/never
1,4,1,1,2,2,2,1,1,,,,,,,,,,79,Some college,White,Female,$125k or more,sporadic
1,2,1,2,2,1,2,1,1,,,,,,,,,,66,College,White,Male,$125k or more,sporadic
1,2,1,2,2,1,2,2,1,,,,,,,,,,58,College,White,Female,Less than $40k,sporadic
1,2,1,1,2,2,2,3,1,,,,,,,,,,66,Some college,Black,Female,Less than $40k,sporadic
1,2,1,1,2,1,1,3,1,,,,,,,,,,60,Some college,White,Female,Less than $40k,sporadic
1,3,1,1,2,2,2,1,1,,,,,,,,,,73,High school or less,White,Female,Less than $40k,always
1,2,1,1,2,1,2,1,1,,,,,,,,,,64,Some college,White,Male,$75-125k,always
4,3,2,2,2,2,2,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60,College,White,Male,$125k or more,rarely/never
1,2,1,2,1,2,2,1,1,,,,,,,,,,50,Some college,White,Male,$125k or more,rarely/never
1,2,1,1,2,2,1,1,1,,,,,,,,,,31,Some college,Other/Mixed,Female,$75-125k,sporadic
2,3,2,1,2,1,2,2,2,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,High school or less,White,Female,Less than $40k,rarely/never
4,3,1,1,1,2,2,3,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,53,High school or less,White,Female,Less than $40k,rarely/never
1,2,1,1,2,2,2,2,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44,College,Other/Mixed,Female,$125k or more,sporadic
2,4,2,1,2,2,2,2,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,43,Some college,White,Female,Less than $40k,rarely/never
1,3,1,2,2,2,2,1,1,,,,,,,,,,54,Some college,White,Male,$75-125k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,78,High school or less,White,Female,Less than $40k,always
1,3,1,1,2,1,2,3,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,Some college,Hispanic,Female,Less than $40k,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,68,Some college,White,Male,$40-75k,always
1,4,1,2,2,1,1,2,1,,,,,,,,,,50,High school or less,Other/Mixed,Female,$75-125k,sporadic
1,1,1,1,2,2,2,3,1,,,,,,,,,,83,College,Black,Female,Less than $40k,always
1,4,1,1,2,2,2,1,1,,,,,,,,,,60,High school or less,White,Female,Less than $40k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,58,Some college,Hispanic,Female,$75-125k,sporadic
1,1,1,1,2,2,1,1,1,,,,,,,,,,87,High school or less,White,Female,$40-75k,always
1,2,1,1,2,1,2,1,1,,,,,,,,,,42,Some college,White,Female,$125k or more,always
1,1,1,1,2,1,2,1,1,,,,,,,,,,73,College,White,Female,$75-125k,always
1,1,1,-1,2,2,2,1,1,,,,,,,,,,82,College,White,Male,$75-125k,always
1,3,2,1,2,2,2,1,1,,,,,,,,,,47,High school or less,White,Male,$40-75k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,52,College,White,Male,$75-125k,always
1,1,1,1,2,2,2,3,1,,,,,,,,,,60,College,White,Female,$125k or more,always
1,3,1,1,2,1,2,2,1,,,,,,,,,,35,College,White,Female,$75-125k,sporadic
1,4,1,1,2,2,2,1,1,,,,,,,,,,65,High school or less,Hispanic,Female,Less than $40k,sporadic
1,2,1,1,2,1,1,1,1,,,,,,,,,,73,College,White,Female,$75-125k,always
2,3,1,1,2,2,2,1,1,,,,,,,,,,31,College,White,Female,$125k or more,sporadic
1,1,1,1,2,2,2,2,1,,,,,,,,,,69,College,Black,Female,$40-75k,sporadic
1,2,1,2,2,2,2,2,1,,,,,,,,,,76,College,White,Female,$125k or more,sporadic
1,1,1,1,2,2,2,3,1,,,,,,,,,,31,College,White,Male,Less than $40k,always
2,3,2,1,2,2,1,2,1,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43,High school or less,Hispanic,Female,$75-125k,rarely/never
2,2,1,2,2,2,2,1,1,,,,,,,,,,54,College,White,Male,$125k or more,always
1,1,1,1,1,1,1,1,1,,,,,,,,,,78,High school or less,White,Female,Less than $40k,always
1,2,1,1,2,1,2,1,1,,,,,,,,,,29,College,White,Female,$125k or more,rarely/never
1,1,1,2,2,1,2,3,1,,,,,,,,,,66,High school or less,White,Female,$40-75k,sporadic
1,1,1,2,2,1,2,1,1,,,,,,,,,,69,College,White,Male,Less than $40k,always
1,2,1,1,2,2,2,3,1,,,,,,,,,,78,Some college,Black,Female,$40-75k,always
2,2,1,1,2,2,2,2,2,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29,Some college,Black,Male,$40-75k,rarely/never
2,2,1,1,2,2,2,3,1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41,College,Black,Male,$75-125k,rarely/never
3,2,1,1,2,2,2,2,2,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,67,High school or less,Hispanic,Female,$75-125k,rarely/never
1,2,1,1,2,2,2,1,1,,,,,,,,,,85,High school or less,White,Female,$125k or more,always
1,2,1,1,2,2,2,2,1,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44,College,White,Female,$125k or more,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,29,College,White,Male,$125k or more,sporadic
1,2,2,1,2,2,2,1,1,,,,,,,,,,83,Some college,White,Female,Less than $40k,sporadic
2,2,1,1,2,1,2,1,1,,,,,,,,,,32,Some college,White,Female,$75-125k,sporadic
1,2,1,1,1,1,1,1,1,,,,,,,,,,72,Some college,White,Male,Less than $40k,always
1,2,1,1,2,2,2,1,1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55,Some college,White,Male,$125k or more,sporadic
1,1,1,2,2,1,1,1,1,,,,,,,,,,57,College,White,Female,$75-125k,always
1,2,1,1,2,2,2,2,1,,,,,,,,,,73,College,White,Male,$125k or more,sporadic
1,2,1,1,2,2,1,1,1,,,,,,,,,,76,Some college,White,Male,$40-75k,sporadic
1,3,1,1,2,2,2,1,1,,,,,,,,,,22,High school or less,White,Female,$40-75k,always
1,3,1,1,1,1,1,2,1,,,,,,,,,,48,High school or less,Other/Mixed,Male,Less than $40k,always
1,1,1,2,2,2,2,2,1,,,,,,,,,,61,Some college,Black,Male,$75-125k,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,29,College,White,Female,$75-125k,always
1,4,1,1,2,2,2,2,1,,,,,,,,,,51,High school or less,Black,Male,$40-75k,sporadic
1,2,1,2,2,2,2,2,1,,,,,,,,,,80,High school or less,White,Female,Less than $40k,always
1,2,1,1,2,2,1,1,1,,,,,,,,,,66,High school or less,White,Female,$40-75k,always
1,2,1,1,2,2,2,3,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53,High school or less,White,Female,$40-75k,rarely/never
1,1,1,1,2,2,2,1,1,,,,,,,,,,62,High school or less,White,Female,$125k or more,always
1,2,1,2,2,2,2,1,1,,,,,,,,,,59,College,White,Male,$125k or more,sporadic
1,3,1,2,2,2,2,1,1,,,,,,,,,,68,Some college,White,Male,$75-125k,rarely/never
1,2,1,1,2,2,2,2,1,,,,,,,,,,56,Some college,White,Male,$125k or more,sporadic
1,2,1,1,-1,-1,-1,2,1,,,,,,,,,,82,College,White,Female,Less than $40k,sporadic
1,1,2,1,2,2,2,1,1,,,,,,,,,,49,High school or less,White,Male,$40-75k,sporadic
1,2,1,1,2,1,2,2,1,,,,,,,,,,73,College,White,Male,$40-75k,always
1,1,1,2,2,1,2,3,1,,,,,,,,,,70,High school or less,White,Male,$75-125k,sporadic
1,2,2,-1,2,2,2,1,1,,,,,,,,,,29,College,White,Male,$125k or more,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,76,High school or less,White,Male,$40-75k,sporadic
1,1,1,2,2,2,2,2,1,,,,,,,,,,63,Some college,Black,Female,$125k or more,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,55,High school or less,White,Male,$40-75k,sporadic
1,1,2,1,2,2,2,1,1,,,,,,,,,,61,Some college,Hispanic,Female,$75-125k,always
3,1,1,1,2,1,2,2,1,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,43,Some college,White,Female,Less than $40k,rarely/never
1,1,1,1,2,2,2,2,1,,,,,,,,,,57,College,Black,Female,$125k or more,sporadic
1,2,1,2,2,2,2,1,1,,,,,,,,,,51,College,White,Female,$125k or more,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,69,College,White,Female,$75-125k,always
1,3,1,2,2,2,2,1,1,,,,,,,,,,73,College,White,Male,$125k or more,sporadic
1,3,1,1,1,1,1,2,1,,,,,,,,,,56,Some college,White,Female,Less than $40k,rarely/never
1,2,1,1,2,2,2,1,1,,,,,,,,,,58,High school or less,White,Male,$75-125k,always
1,2,1,1,2,2,1,1,1,,,,,,,,,,83,High school or less,White,Male,$75-125k,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,27,Some college,White,Female,$125k or more,always
1,2,1,1,2,1,1,2,1,,,,,,,,,,83,Some college,Other/Mixed,Male,$75-125k,sporadic
